Lat,Lng,Year,Month,Severity
18.71,-87.71,2005,6,0
18.66,-87.72,2005,6,1
18.66,-87.72,2005,6,0
18.72,-87.70,2005,5,1
18.72,-87.70,2005,5,1
18.67,-87.72,2005,5,0
18.67,-87.72,2005,5,3
18.71,-87.71,2006,3,2
18.71,-87.71,2006,3,1
18.68,-87.71,2006,3,3
18.68,-87.71,2006,3,2
18.71,-87.70,2006,3,2
18.72,-87.70,2006,3,1
18.72,-87.70,2006,3,2
18.72,-87.70,2006,2,1
18.68,-87.71,2006,2,2
18.72,-87.70,2006,2,1
18.72,-87.70,2006,2,2
18.71,-87.71,2006,2,2
18.72,-87.70,2006,2,2
18.71,-87.71,2006,2,2
18.71,-87.70,2005,12,2
18.71,-87.70,2005,12,2
18.71,-87.70,2005,12,1
18.68,-87.71,2005,12,0
18.68,-87.71,2005,12,0
18.71,-87.71,2005,11,1
18.72,-87.70,2005,11,1
18.72,-87.70,2005,11,1
18.63,-87.72,2005,8,1
18.72,-87.70,2005,11,2
18.71,-87.71,2005,11,2
18.72,-87.70,2005,8,1
18.72,-87.70,2005,8,1
18.71,-87.71,2005,8,2
18.68,-87.71,2005,8,2
18.68,-87.71,2005,8,1
18.67,-87.72,2005,9,1
18.71,-87.71,2005,11,2
18.71,-87.71,2005,11,2
18.71,-87.71,2005,11,1
18.71,-87.71,2005,11,1
18.68,-87.71,2005,11,3
18.68,-87.71,2005,11,2
20.27,-87.22,1990,,-1
18.72,-87.70,2005,5,2
18.74,-87.67,2005,5,0
18.74,-87.67,2005,5,0
18.72,-87.70,2005,5,1
18.71,-87.70,2005,5,1
18.71,-87.70,2005,5,1
18.66,-87.72,2005,5,0
18.72,-87.70,2005,5,2
18.66,-87.72,2005,5,0
18.68,-87.71,2005,5,1
18.68,-87.71,2005,5,1
18.72,-87.70,2005,8,1
18.72,-87.70,2005,8,0
18.72,-87.70,2005,8,1
18.71,-87.71,2005,8,2
18.68,-87.71,2005,8,1
18.67,-87.72,2005,8,1
18.63,-87.72,2005,8,2
18.72,-87.70,2005,7,1
18.72,-87.70,2005,8,2
